BHID,PROYECTO,FECHA,HOLE_TYPE,COD_MES,DEPTH,XCOLLAR,YCOLLAR,ZCOLLAR,TIPO_COORD,LOC_CANAL,LEV_TOPO,SURVTYPE,IS_VALIDX,FAKE1,FAKE2
000006a,MAND_OC_10,3/3/2010,8,201003,5.6,8702093.897,389272.3467,3979.257,EJE,,3,0,1,0,0
10103000058,MAND_OC_12,4/3/2012,8,201204,1.2,389580.536,8702515.218,4053.337,EJE,2,3,0,2,0,0
10103000062,MAND_OC_12,4/3/2012,8,201204,0.8,389577.3186,8702517.918,4053.337,EJE,2,3,0,2,0,0
10103000076,MAND_OC_12,4/3/2012,8,201204,0.7,389161.3252,8702002.451,3994.743,EJE,2,3,0,2,0,0
10103000189,MAND_OC_12,4/6/2012,8,201204,0.7,389595.4231,8702538.381,4053.337,EJE,2,3,0,2,0,0
10103000333,MAND_OC_12,4/7/2012,8,201204,1.1,389235.435,8702064.588,3918.217,EJE,2,3,0,2,0,0
10103000344,MAND_OC_12,4/7/2012,8,201204,0.5,389236.7018,8702071.942,3918.217,EJE,2,3,0,2,0,0
10103000391,MAND_OC_12,4/10/2012,8,201204,0.7,389599.248,8702547.316,4053.337,EJE,2,3,0,2,0,0
10103000427,MAND_OC_12,4/13/2012,8,201204,0.7,389914.7045,8702908.884,4281.96,EJE,2,3,0,2,0,0
10103000459,MAND_OC_12,4/17/2012,8,201204,0.4,389612.637,8702564.638,4053.337,EJE,2,3,0,2,0,0
10103000525,MAND_OC_12,4/17/2012,8,201204,0.25,388839.006,8701555.36,4476.2,EJE,,3,0,2,0,0
10103000728,MAND_OC_12,4/17/2012,8,201204,1.6,389254.8066,8702090.14,0,EJE,2,3,0,2,0,0
10103000805,MAND_OC_12,4/17/2012,8,201204,0.6,389214.5257,8702045.247,3918.217,EJE,2,3,0,2,0,0
10103000845,MAND_OC_12,4/19/2012,8,201204,0.6,389902.4542,8702900.817,4281.96,EJE,2,3,0,2,0,0
10103000890,MAND_OC_12,4/21/2012,8,201204,0.9,389203.8857,8702040.657,3917.95,EJE,2,3,0,2,0,0
10103000917,MAND_OC_12,4/21/2012,8,201204,0.7,389900.8902,8702895.738,4281.96,EJE,2,3,0,2,0,0
10103000922,MAND_OC_12,4/21/2012,8,201204,0.3,389898.5154,8702897.731,4281.96,EJE,2,3,0,2,0,0
10103000946,MAND_OC_12,4/22/2012,8,201204,0.9,389379.5829,8702259.348,3923,EJE,2,3,0,2,0,0
10103000957,MAND_OC_12,4/23/2012,8,201204,0.7,389351.3742,8702203.096,3922.472,EJE,2,3,0,2,0,0
10103001010,MAND_OC_12,4/21/2012,8,201204,1.3,389881.1789,8702846.66,4522.137,EJE,,3,0,2,0,0
10103001085,MAND_OC_12,4/26/2012,8,201204,0.8,389115.246,8701717.107,4473.783,EJE,,3,0,2,0,0
10103001140,MAND_OC_12,4/26/2012,8,201204,1.3,389928.9286,8702929.616,4281.96,EJE,2,3,0,2,0,0
10103001171,MAND_OC_12,4/27/2012,8,201204,0.6,389631.723,8702581.997,4053.336,EJE,2,3,0,2,0,0
10103001184,MAND_OC_12,5/1/2012,8,201205,0.6,389475.903,8702372.218,4082.922,EJE,2,3,0,2,0,0
10103001384,MAND_OC_12,5/3/2012,8,201205,0.4,389870.426,8702834.779,4523.208,EJE,,3,0,2,0,0
10103001501,MAND_OC_12,5/9/2012,8,201205,1,389826.38,8702802.134,4389.323,EJE,2,3,0,2,0,0
10103001525,MAND_OC_12,5/10/2012,8,201205,0.6,389286.524,8702129.342,3918.325,EJE,2,3,0,2,0,0
10103001534,MAND_OC_12,5/10/2012,8,201205,2.2,389178.696,8702010.016,3918.325,EJE,2,3,0,2,0,0
10103001694,MAND_OC_12,5/5/2012,8,201205,1.2,389414.037,8702301.481,3928.912,EJE,2,3,0,2,0,0
10103001697,MAND_OC_12,5/5/2012,8,201205,0.9,389277.816,8702115.511,3918.325,EJE,2,3,0,2,0,0
10103001708,MAND_OC_12,5/6/2012,8,201205,1.2,389525.251,8702459.704,0,EJE,2,3,0,2,0,0
10103001727,MAND_OC_12,5/8/2012,8,201205,0.8,389180.985,8702015.111,3918.325,EJE,2,3,0,2,0,0
10103001735,MAND_OC_12,5/8/2012,8,201205,2,389986.339,8702981.41,4388.451,EJE,,3,0,2,0,0
10103001780,MAND_OC_12,5/14/2012,8,201205,0.3,389294.253,8702137.505,3918.216,EJE,2,3,0,2,0,0
10103001937,MAND_OC_12,5/15/2012,8,201205,0.4,389508.015,8702432.066,4060.249,EJE,2,3,0,2,0,0
10103002037,MAND_OC_12,5/13/2012,8,201205,0.6,389051.27,8701891.138,3989.475,EJE,2,3,0,2,0,0
10103002066,MAND_OC_12,5/17/2012,8,201205,0.2,389974.82,8702974.34,4388.451,EJE,2,3,0,2,0,0
10103002085,MAND_OC_12,5/19/2012,8,201205,0.9,389537.182,8702440.649,4060.249,EJE,2,3,0,2,0,0
10103002090,MAND_OC_12,5/19/2012,8,201205,1,389534.616,8702442.88,4060.249,EJE,2,3,0,2,0,0
10103002307,MAND_OC_12,5/17/2012,8,201205,0.95,389539.504,8702451.001,4060.249,EJE,2,3,0,2,0,0
10103002320,MAND_OC_12,5/18/2012,8,201205,0.3,389994.306,8702998.384,4388.451,EJE,2,3,0,2,0,0
10103002397,MAND_OC_12,5/21/2012,8,201205,0.4,389495.785,8702416.346,4060.249,EJE,2,3,0,2,0,0
10103002410,MAND_OC_12,5/20/2012,8,201205,0.4,389075.639,8701914.586,3989.475,EJE,2,3,0,2,0,0
10103002421,MAND_OC_12,5/22/2012,8,201205,1.2,389140.224,8701985.354,3989.475,EJE,2,3,0,2,0,0
10103002437,MAND_OC_12,5/23/2012,8,201205,0.7,389083.754,8701919.415,3989.475,EJE,2,3,0,2,0,0
10103002456,MAND_OC_12,5/24/2012,8,201205,1.1,389968.607,8702963.412,0,EJE,2,3,0,2,0,0
10103002490,MAND_OC_12,5/27/2012,8,201205,6,389434.91,8702320.587,3928.912,EJE,2,,0,1,0,0
10103002505,MAND_OC_12,5/21/2012,8,201205,0.4,389829.634,8702795.158,4470.98,EJE,,3,0,2,0,0
10103002544,MAND_OC_12,5/24/2012,8,201205,0.35,389825.656,8702787.107,4470.98,EJE,2,3,0,2,0,0
10103000020,MAND_OC_12,4/2/2012,8,201204,1.6,385589.352,8701497.819,4611.054,EJE,,3,0,2,0,0
10103000075,MAND_OC_12,4/3/2012,8,201204,1,389162.091,8702001.808,3994.743,EJE,2,3,0,2,0,0
10103000167,MAND_OC_12,4/9/2012,8,201204,0.35,389889.108,8702855.184,4522.137,EJE,,3,0,2,0,0
10103000180,MAND_OC_12,4/5/2012,8,201204,0.8,389591.6716,8702537.57,4053.337,EJE,,3,0,2,0,0
10103000183,MAND_OC_12,4/5/2012,8,201204,0.5,389885.2944,8702871.971,4390.289,EJE,2,3,0,2,0,0
10103000314,MAND_OC_12,4/5/2012,8,201204,0.95,389226.0819,8702056.834,3990.304,EJE,2,3,0,2,0,0
10103000342,MAND_OC_12,4/7/2012,8,201204,1.3,389238.743,8702070.175,3918.217,EJE,2,3,0,2,0,0
10103000358,MAND_OC_12,4/8/2012,8,201204,0.9,389229.2909,8702064.321,3918.217,EJE,2,3,0,2,0,0
10103000384,MAND_OC_12,4/10/2012,8,201204,0.8,389924.0636,8702925.25,4281.96,EJE,2,3,0,2,0,0
10103000418,MAND_OC_12,4/12/2012,8,201204,0.9,389568.0274,8702505.055,4053.337,EJE,2,3,0,2,0,0
10103000437,MAND_OC_12,4/13/2012,8,201204,0.9,389603.1451,8702554.095,4053.337,EJE,2,3,0,2,0,0
10103000457,MAND_OC_12,4/16/2012,8,201204,1,389840.1313,8702831.06,4280.403,EJE,2,3,0,2,0,0
10103000464,MAND_OC_12,4/17/2012,8,201204,1,389611.2581,8702565.795,4053.337,EJE,2,3,0,2,0,0
10103000575,MAND_OC_12,4/9/2012,8,201204,0.8,389240.3493,8702077.026,3918.217,EJE,2,3,0,2,0,0
10103000654,MAND_OC_12,4/14/2012,8,201204,0.3,389254.265,8702087.863,3918.217,EJE,2,3,0,2,0,0
10103000866,MAND_OC_12,4/20/2012,8,201204,0.6,389393.4125,8702275.171,3923,EJE,2,3,0,2,0,0
10103000873,MAND_OC_12,4/20/2012,8,201204,1.1,389384.9356,8702264.022,3923,EJE,2,3,0,2,0,0
10103001053,MAND_OC_12,4/24/2012,8,201204,1.2,388836.1782,8701553.472,4477.542,EJE,,3,0,2,0,0
10103001080,MAND_OC_12,4/26/2012,8,201204,0.5,389876.728,8702841.433,4522.137,EJE,,3,0,2,0,0
10103001128,MAND_OC_12,4/25/2012,8,201204,0.5,389823.935,8702812.364,4279.653,EJE,2,3,0,2,0,0
10103001133,MAND_OC_12,4/25/2012,8,201204,0.5,389821.79,8702814.164,4279.653,EJE,2,3,0,2,0,0
10103001164,MAND_OC_12,4/27/2012,8,201204,1,389820.481,8702807.509,4279.653,EJE,2,3,0,2,0,0
10103001186,MAND_OC_12,5/1/2012,8,201205,1,389537.885,8702473.205,4060.249,EJE,2,3,0,2,0,0
10103001254,MAND_OC_12,4/26/2012,8,201204,1.1,389375.254,8702244.815,3923.786,EJE,2,3,0,2,0,0
10103001311,MAND_OC_12,5/1/2012,8,201205,1.05,389193.164,8702023.489,3918.325,EJE,2,3,0,2,0,0
10103001397,MAND_OC_12,5/4/2012,8,201205,0.85,389107.555,8701712.389,4473.783,EJE,,3,0,2,0,0
10103001449,MAND_OC_12,5/8/2012,8,201205,0.7,389866.534,8702828.645,4523.208,EJE,,3,0,2,0,0
10103001676,MAND_OC_12,5/4/2012,8,201205,0.7,389829.163,8702807.2,4389.323,EJE,2,3,0,2,0,0
10103001718,MAND_OC_12,5/8/2012,8,201205,1,389402.979,8702284.495,3928.912,EJE,2,3,0,2,0,0
10103001733,MAND_OC_12,5/8/2012,8,201205,0.55,389979.166,8702978.399,4388.451,EJE,,3,0,2,0,0
10103001836,MAND_OC_12,5/11/2012,8,201205,0.5,389863.288,8702820.178,4523.208,EJE,2,3,0,2,0,0
10103001872,MAND_OC_12,5/14/2012,8,201205,0.6,389843.499,8702808.052,4470.98,EJE,,3,0,2,0,0
10103001905,MAND_OC_12,5/13/2012,8,201205,1.1,389991.051,8702991.77,4388.451,EJE,2,3,0,2,0,0
10103001958,MAND_OC_12,5/16/2012,8,201205,0.9,389296.685,8702142.634,3918.216,EJE,2,3,0,2,0,0
10103001964,MAND_OC_12,5/16/2012,8,201205,1.2,389173.166,8702005.609,3918.325,EJE,2,3,0,2,0,0
10103002164,MAND_OC_12,5/19/2012,8,201205,0.75,389853.693,8702810.939,4523.208,EJE,,3,0,2,0,0
10103002408,MAND_OC_12,5/20/2012,8,201205,0.7,389076.544,8701913.798,3989.475,EJE,2,3,0,2,0,0
10103002423,MAND_OC_12,5/22/2012,8,201205,0.5,389139.305,8701986.125,3989.475,EJE,2,3,0,2,0,0
10103002440,MAND_OC_12,5/23/2012,8,201205,1.6,389082.298,8701920.636,3989.475,EJE,2,3,0,2,0,0
10103002453,MAND_OC_12,5/24/2012,8,201205,0.8,390002.834,8703005.742,4388.451,EJE,2,3,0,2,0,0
10103002547,MAND_OC_12,5/24/2012,8,201205,1.2,389824.63,8702788.132,4470.98,EJE,2,3,0,2,0,0
10103002641,MAND_OC_12,5/23/2012,8,201205,0.85,389494.913,8702414.062,4060.249,EJE,2,3,0,2,0,0
10103002706,MAND_OC_12,5/28/2012,8,201205,4.3,389025.884,8701856.768,3989.475,EJE,2,,0,2,0,0
